id:ID,label,:LABEL,properties.category,properties.chapters,properties.description,properties.mention_count,properties.name_normalized,properties.red_flag,properties.sections,properties.severity,properties.synonyms,properties.treatment_type,properties.urgency_level,properties.urgency_source
disease_001,Nongranulomatous Anterior Uveitis,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,nongranulomatous anterior uveitis,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_002,Traumatic Microhyphema Or Hyphema,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,traumatic microhyphema or hyphema,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_003,Traumatic Corneal Abrasion,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,traumatic corneal abrasion,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_004,Traumatic Retinal Detachment,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,traumatic retinal detachment,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_005,Occult Trauma,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,occult trauma,True,"[""Etiology of Spontaneous Hyphema or Microhyphema""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_006,Neovascularization Of The Iris Or Angle (E,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,neovascularization of the iris or angle (e,True,"[""Etiology of Spontaneous Hyphema or Microhyphema""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_007,Blood Dyscrasias And Coagulopathies,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,blood dyscrasias and coagulopathies,True,"[""Etiology of Spontaneous Hyphema or Microhyphema""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_008,Iris–Intraocular Lens Chafing,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,iris–intraocular lens chafing,True,"[""Etiology of Spontaneous Hyphema or Microhyphema""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_009,Herpetic Keratouveitis,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,herpetic keratouveitis,True,"[""Etiology of Spontaneous Hyphema or Microhyphema""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_010,Use Of Anticoagulants (E,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,use of anticoagulants (e,True,"[""Etiology of Spontaneous Hyphema or Microhyphema""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_011,Orbital Edema And Hemorrhage With Or Without A Blowout Fracture,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,orbital edema and hemorrhage with or without a blowout fracture,True,"[""Differential Diagnosis of Muscle Entrapment in Orbital Fracture""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_012,Cranial Nerve Palsy,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,cranial nerve palsy,True,"[""Differential Diagnosis of Muscle Entrapment in Orbital Fracture""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_013,Laceration Or Direct Contusion Of Eoms,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,laceration or direct contusion of eoms,True,"[""Differential Diagnosis of Muscle Entrapment in Orbital Fracture""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_014,Orbital Cellulitis,Entity,,"[1, 3, 5, 6, 7, 14]",Disease entity extracted from differential diagnosis lists,30,orbital cellulitis,True,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_015,Severe Orbital Emphysema (“Tension Pneumo-Orbit”),Entity,,[3],Disease entity extracted from differential diagnosis lists,1,severe orbital emphysema (“tension pneumo-orbit”),True,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
