:START_ID,:END_ID,:TYPE,weight,description
disease_054,symptom_001,PRESENTS_WITH,0.7,Dry Eye Syndrome presents with Irritation
disease_219,symptom_001,PRESENTS_WITH,0.7,Congenital presents with Irritation
disease_228,symptom_001,PRESENTS_WITH,0.7,Hemifacial Spasm presents with Irritation
disease_231,symptom_001,PRESENTS_WITH,0.7,Tourette Syndrome presents with Irritation
disease_363,symptom_001,PRESENTS_WITH,0.7,Congenital Glaucoma presents with Irritation
disease_381,symptom_001,PRESENTS_WITH,0.7,Albinism presents with Irritation
disease_642,symptom_001,PRESENTS_WITH,0.7,Glaucoma presents with Irritation
disease_787,symptom_001,PRESENTS_WITH,0.7,Fatigue presents with Irritation
disease_819,symptom_001,PRESENTS_WITH,0.7,Dry Eye presents with Irritation
disease_820,symptom_001,PRESENTS_WITH,0.7,Blepharospasm presents with Irritation
disease_054,symptom_002,PRESENTS_WITH,0.7,Dry Eye Syndrome presents with Discharge
disease_079,symptom_002,PRESENTS_WITH,0.7,Drugs (E presents with Discharge
disease_642,symptom_002,PRESENTS_WITH,0.7,Glaucoma presents with Discharge
disease_645,symptom_002,PRESENTS_WITH,0.7,Drugs presents with Discharge
disease_819,symptom_002,PRESENTS_WITH,0.7,Dry Eye presents with Discharge
disease_828,symptom_002,PRESENTS_WITH,0.7,Keratopathy presents with Discharge
disease_829,symptom_002,PRESENTS_WITH,0.7,Pseudophakia presents with Discharge
disease_830,symptom_002,PRESENTS_WITH,0.7,Cataract presents with Discharge
disease_831,symptom_002,PRESENTS_WITH,0.7,Corneal Edema presents with Discharge
disease_832,symptom_002,PRESENTS_WITH,0.7,Dystrophy presents with Discharge
disease_833,symptom_002,PRESENTS_WITH,0.7,Angle-Closure Glaucoma presents with Discharge
disease_012,symptom_003,PRESENTS_WITH,0.7,Cranial Nerve Palsy presents with Ache
disease_012,symptom_004,PRESENTS_WITH,0.7,Cranial Nerve Palsy presents with Pain
disease_012,symptom_005,PRESENTS_WITH,0.7,Cranial Nerve Palsy presents with Headache
